name,url,state,revenue,growth_%,industry,workers,founded,yrs_on_list,city
Freestar,http://freestar.com,Arizona,3700000.0,36680,Advertising & Marketing,40,2015,1,Phoenix
FreightWise,http://freightwisellc.com,Tennessee,3400000.0,30547,Logistics & Transportation,39,2015,1,Brentwood
Cece's Veggie Co.,http://cecesveggieco.com,Texas,2500000.0,23880,Food & Beverage,190,2015,1,Austin
LadyBoss,http://ladyboss.com,New Mexico,3200000.0,21849,Consumer Products & Services,57,2014,1,Albuquerque
Perpay,http://perpay.com,Pennsylvania,2200000.0,18166,Retail,25,2014,1,Philadelphia
Cano Health,http://canohealth.com,Florida,27200000.0,14183,Health,742,2009,1,Miami
Bear Mattress,http://bearmattress.com,New Jersey,2000000.0,13480,Consumer Products & Services,12,2014,1,Hoboken
Connected Solutions Group,http://csgstore.net,Virginia,2300000.0,12700,Telecommunications,72,2015,1,Mechanicsville
Providence Healthcare Management,http://providencehcm.com,Ohio,22600000.0,12564,Health,60,2008,1,Cleveland
NOM,http://thisisnom.co,California,2100000.0,11996,Advertising & Marketing,37,2014,1,Los Angeles
NuLeaf Naturals,nuleafnaturals.com,Colorado,1400000.0,11949,Consumer Products & Services,40,2014,1,Denver
Urgently,geturgently.com,Virginia,3000000.0,11632,Logistics & Transportation,226,2013,1,VIenna
nutpods,http://nutpods.com,Washington,1900000.0,11622,Food & Beverage,23,2013,1,Bellevue
YieldStreet,http://yieldstreet.com,New York,1900000.0,10561,Financial Services,66,2015,1,New York
MuteSix,http://mutesix.com,California,1700000.0,10175,Advertising & Marketing,109,2014,3,Los Angeles
Anchor Worldwide,anchorww.com,New York,1100000.0,9753,Advertising & Marketing,110,2015,1,New York
LendingPoint,lendingpoint.com,Georgia,10600000.0,9265,Financial Services,190,2014,1,Kennesaw
With Clarity,http://withclarity.com,New York,1900000.0,9179,Consumer Products & Services,14,2013,1,New York
Sonendo,sonendo.com,California,2400000.0,8656,Health,191,2006,1,Laguna Hills
Kindred Bravely,http://kindredbravely.com,California,1000000.0,8543,Consumer Products & Services,35,2015,1,Oceanside
Tailor Made Compounding,http://tailormadecompounding.com,Kentucky,1000000.0,8327,Health,45,2015,1,Nicholasville
SD3IT,http://sd3it.com,Florida,1200000.0,8282,Computer Hardware,12,2014,1,The Villages
ConvertKit,convertkit.com,Idaho,1400000.0,7965,Software,37,2013,2,Boise
Printify,http://printify.com,California,1000000.0,7926,Software,70,2015,1,San Francisco
Awardco,http://award.co,Utah,900000.0,7478,Software,42,2015,1,Orem
Pegasus Optimization Managers,pegasus15.com,Texas,12800000.0,7426,Energy,191,2015,1,College Station
FITT Scientific,fittscientific.com,Virginia,1600000.0,7329,Government Services,191,2013,1,Colonial Heights
Amherst Madison,amherstmadisonlegacy.com,Idaho,800000.0,7301,Real Estate,8,2014,2,Boise
LumenAd,lumenad.com,Montana,1200000.0,7045,Software,60,2014,1,Missoula
Bendcare,bendcare.com,Florida,15600000.0,6900,Health,37,2015,1,Boca Raton
The Welfont Companies,welfont.com,Florida,2000000.0,6870,Real Estate,51,2014,2,Tampa
Skinny Dipped,http://skinnydipped.com,Washington,1000000.0,6641,Consumer Products & Services,21,2013,1,Seattle
RDI Technologies,rditechnologies.com,Tennessee,700000.0,6492,Manufacturing,21,2013,1,Knoxville
Limited Run Games,limitedrungames.com,North Carolina,2100000.0,6388,Media,21,2010,1,Apex
SwanLeap,swanleap.com,Wisconsin,16300000.0,6382,Logistics & Transportation,38,2013,3,Madison
Vesta Modular,http://vestamodular.com,Michigan,4900000.0,6337,Construction,52,2014,1,Southfield
H&C Animal Health,hc-animal-health.com,Colorado,2400000.0,6287,Consumer Products & Services,11,2013,1,Parker
Homesnap,homesnap.com,Maryland,1800000.0,6176,Real Estate,85,2012,2,Bethesda
Paradigm Construction,paradigmconstruction-tx.com,Texas,4500000.0,6145,Construction,27,2013,2,The Woodlands
Allata,allata.com,Texas,1500000.0,6134,IT System Development,71,2014,1,Dallas
Fanchest,http://fanchest.com,New York,800000.0,6055,Retail,13,2014,1,New York
Fund That Flip,http://fundthatflip.com,New York,600000.0,6017,Real Estate,41,2014,1,New York
Villaway,http://villaway.com,California,700000.0,5935,Travel & Hospitality,15,2014,2,Los Angeles
IQM,http://iqm.com,New York,900000.0,5852,Advertising & Marketing,40,2014,1,New York
Home Quality Remodeling,homequalityremodeling.com,California,600000.0,5835,Construction,10,2004,1,Concord
Beeswax,http://beeswax.com,New York,1700000.0,5768,Software,56,2014,1,New York
Netizen,http://netizencorp.com,Pennsylvania,600000.0,5638,Security,46,2013,1,Allentown
phData,phdata.io,Minnesota,1000000.0,5638,IT Management,86,2014,1,Minneapolis
MDstaffers,http://mdstaffers.com,California,700000.0,5634,Health,22,2010,1,Rancho Cordova
TalEx,teamtalex.com,Maryland,4800000.0,5484,Human Resources,500,2012,3,Clarksburg
Nationwide Mortgage Bankers,nmbhome.com,New York,2500000.0,5449,Financial Services,400,2011,1,Melville
Podium,podium.com,Utah,4200000.0,5416,Software,430,2014,2,Lehi
SIA Solutions,http://siasolutions.com,Texas,2400000.0,5059,Environmental Services,60,2012,3,Houston
QEO Group,qeo.com,Texas,5900000.0,4978,Insurance,87,2014,2,Irving
Dropified,dropified.com,Alabama,500000.0,4971,Business Products & Services,30,2015,1,Birmingham
Sparx Hockey,sparxhockey.com,Massachusetts,800000.0,4916,Consumer Products & Services,25,2014,1,Acton
TrueChoicePack,http://truechoicepack.com,Ohio,800000.0,4908,Consumer Products & Services,7,2013,1,Mason
Ooze Wholesale,http://oozewholesale.com,Michigan,2600000.0,4899,Consumer Products & Services,30,2015,1,Oak Park
Progyny,http://progyny.com,New York,10800000.0,4838,Health,116,2008,2,New York
Pax8,pax8.com,Colorado,4200000.0,4820,Software,254,2012,2,Greenwood Village
Terminus,http://terminus.com,Georgia,2200000.0,4730,Software,162,2014,1,Atlanta
Chomps,chomps.com,Florida,2100000.0,4469,Food & Beverage,8,2012,2,Naples
Rad Power Bikes,radpowerbikes.com,Washington,4500000.0,4442,Manufacturing,100,2007,1,Seattle
TradePending,tradepending.com,North Carolina,600000.0,4430,Software,28,2014,1,Chapel Hill
West Creek Financial,http://westcreekfin.com,Virginia,9000000.0,4405,Financial Services,158,2014,1,Glen Allen
CityLift Parking,cityliftparking.com,California,1100000.0,4401,Construction,40,2015,1,Oakland
Associated Veterans,associatedveterans.com,Virginia,1300000.0,4345,Government Services,64,2007,2,Arlington
Fetch Rewards,fetchrewards.com,Wisconsin,900000.0,4322,Software,63,2013,1,Madison
10X Genomics,10xgenomics.com,California,14600000.0,4308,Health,380,2012,1,Pleasanton
4th & Heart,http://fourthandheart.com,California,1400000.0,4283,Food & Beverage,7,2014,1,Venice Beach
GreenPrint,http://greenprintcorp.com,Georgia,600000.0,4281,Energy,13,2014,1,Atlanta
Sky Marketing Corporation,smcdistribution.com,Texas,500000.0,4279,Consumer Products & Services,30,2015,1,Austin
Pendo,pendo.io,North Carolina,2100000.0,4266,Software,258,2013,1,Raleigh
Core Software Technologies,coresofttech.com,New Jersey,500000.0,4246,Software,39,2011,3,Plainsboro
EcoSystems,ecosystems.com,Florida,700000.0,4233,Environmental Services,36,2012,1,Miami
Brickell Men's Products,brickellmensproducts.com,Maine,1000000.0,4207,Health,35,2014,1,Portland
Patton Warehousing,pattonwarehousing.com,Pennsylvania,800000.0,4138,Logistics & Transportation,78,2015,1,Milton
SydanTech,sydantech.com,Maryland,400000.0,4090,Government Services,14,2000,1,Bethesda
WT Stevens Construction,http://wtstevens.com,Michigan,700000.0,4089,Construction,40,2002,1,Flint
Wandrd,http://wandrd.com,Utah,500000.0,4088,Consumer Products & Services,12,2015,1,Orem
Confidio,confidio.com,Maryland,1600000.0,4035,Health,38,2014,1,Towson
Dynamic Logistix,dynamiclogistix.com,Kansas,5400000.0,3839,Logistics & Transportation,50,2015,1,Overland Park
Asset Panda,http://assetpanda.com,Texas,500000.0,3778,Software,50,2012,2,Frisco
SeaBay Building Group,seabay-group.com,California,2600000.0,3775,Construction,25,2013,1,Hayward
Blue Fire Leads,http://bluefireleads.com/home,Utah,900000.0,3727,Advertising & Marketing,13,2014,2,Provo
Loanatik,loanatik.com,Arizona,900000.0,3692,Financial Services,19,2015,1,Phoenix
SupportNinja,http://supportninja.com,Texas,400000.0,3683,Business Products & Services,463,2015,1,Austin
Grove Collaborative,http://grove.co,California,10400000.0,3665,Consumer Products & Services,1200,2012,2,San Francisco
Cisoshare,http://cisoshare.com,California,400000.0,3623,Security,25,2015,1,San Juan Capistrano
DigitalOnUS,digitalonus.com,California,1000000.0,3534,IT System Development,178,2015,2,San Jose
GForce Life Sciences,gforcelifesciences.com,Illinois,1400000.0,3531,Human Resources,49,2013,2,Chicago
Capitol Bridge,capitolbridgellc.com,Virginia,600000.0,3469,Government Services,35,2012,2,Arlington
Kentucky Counseling Center,kentuckycounselingcenter.com,Kentucky,500000.0,3417,Health,19,2014,1,LOUISVILLE
Shefit,shefit.com,Michigan,700000.0,3399,Retail,25,2013,2,Hudsonville
US Mobile,usmobile.com,New York,700000.0,3387,Telecommunications,65,2014,1,White Plains
Feedonomics,feedonomics.com,California,700000.0,3371,Advertising & Marketing,85,2014,1,Woodland Hills
Amenity Health,amenityhealth.com,California,1500000.0,3357,Health,16,2011,1,San Diego
Payability,http://payability.com,New York,1400000.0,3350,Financial Services,54,2014,1,New York
Eagle Transport and Logistics,theeagletransport.com,Ohio,500000.0,3339,Logistics & Transportation,35,2014,1,Columbus
ShipBob,shipbob.com,Illinois,3400000.0,3325,Logistics & Transportation,450,2014,1,Chicago
Powerhome Solar,http://powerhome.com,North Carolina,10300000.0,3307,Construction,585,2015,2,Mooresville
LendingOne,lendingone.com,Florida,1400000.0,3279,Financial Services,50,2014,1,Boca Raton
OwnBackup,ownbackup.com,New Jersey,900000.0,3244,Software,86,2015,1,Fort Lee
Invictus International Consulting,http://invictusic.com,Virginia,3300000.0,3215,Government Services,151,2014,1,Alexandria
Go Energistics,goenergistics.com,Texas,1400000.0,3210,Construction,46,2011,1,Colleyville
Total Expert,totalexpert.com,Minnesota,1100000.0,3205,Software,180,2014,2,Minneapolis
BuzzyBooth,http://buzzybooth.com,California,400000.0,3201,Business Products & Services,18,2015,1,Santa Monica
Carolin Soldo Coaching & Events,http://carolinsoldo.com,New York,400000.0,3178,Business Products & Services,1,2015,1,Hamburg
Cognira,http://cognira.com,Georgia,800000.0,3135,Software,50,2015,1,Atlanta
B3 Group,b3groupinc.com,Virginia,5900000.0,3134,Government Services,145,2008,3,Herndon
Inspiranza Designs,inspiranzadesigns.com,Illinois,500000.0,3099,Retail,10,2005,2,Columbia
OnesourcePCS,onesourcepcs.com,Florida,800000.0,3051,Government Services,52,2002,1,PENSACOLA
Cience Technologies,http://cience.com,California,400000.0,3050,Advertising & Marketing,310,2015,1,Solana Beach
Austin Cryo Ventures,http://restorecryotherapy.com,Texas,500000.0,3031,Health,15,2015,1,Austin
Sweet Loren's,http://sweetlorens.com,New York,600000.0,3026,Food & Beverage,5,2010,1,New York
Copper,http://copper.com,California,1900000.0,3023,Software,191,2013,1,San Francisco
5 Star Roofing and Restoration,5starroofer.com,Alabama,300000.0,2994,Construction,40,2015,1,Birmingham
DigitalCrafts,http://digitalcrafts.com,Georgia,300000.0,2957,Education,30,2015,1,Atlanta
LoadUp Technologies,http://goloadup.com,Georgia,400000.0,2938,Logistics & Transportation,15,2014,1,Atlanta
SkillSet Group,skillsetgroup.com,California,2400000.0,2911,Human Resources,740,2013,2,Santa Ana
Ally Logistics,allylogistics.com,Michigan,2600000.0,2872,Logistics & Transportation,37,2012,1,Grand Rapids
BAMFi,bamfi.com,Georgia,1200000.0,2861,Financial Services,66,2012,1,Atlanta
Potoo,potoosolutions.com,Connecticut,700000.0,2812,Business Products & Services,60,2014,1,Norwalk
Parsons Xtreme Golf,pxg.com,Arizona,7900000.0,2804,Consumer Products & Services,196,2014,1,Scottsdale
Onfleet,http://onfleet.com,California,400000.0,2795,Logistics & Transportation,19,2012,1,San Francisco
PatientPop,http://patientpop.com,California,3900000.0,2781,Health,375,2014,1,Santa Monica
Gravity IT Resources,http://gravityitresources.com,Florida,500000.0,2773,Business Products & Services,25,2015,1,Fort Lauderdale
MedLab International,medlabgear.com,Ohio,300000.0,2742,Health,8,2015,1,Cortland
Equity & Help,equityandhelp.com,Florida,300000.0,2729,Business Products & Services,20,2014,1,Clearwater
Ridgeline International,ridgelineintl.com,Virginia,3000000.0,2728,Telecommunications,125,2015,1,Tysons Corner
China Metal Solutions,chinametalsolutions.com,Illinois,300000.0,2704,Manufacturing,5,2015,1,Chicago
BlueSky Resource Solutions,http://blueskyrs.com,Georgia,700000.0,2696,Business Products & Services,98,2013,1,Atlanta
Centauri Health Solutions,centaurihs.com,Arizona,8500000.0,2694,Health,941,2014,1,scottsdale
CellTrade NY,celltradeny.com,New York,1200000.0,2689,Consumer Products & Services,11,2015,1,Hicksville
Exabeam,exabeam.com,California,3900000.0,2678,Security,274,2013,2,San Mateo
Kinsmen Group,kinsmengroup.com,Pennsylvania,400000.0,2668,Software,21,2015,1,West Chester
Owens Recovery Science,owensrecoveryscience.com,Texas,500000.0,2657,Health,6,2015,1,San Antonio
WinIt,http://appwinit.com,New York,600000.0,2635,Consumer Products & Services,6,2014,1,New York
Techolution,techolution.com,New York,1000000.0,2633,IT System Development,176,2014,1,New York
Solvix Solutions,http://solvixsolutions.com,New Jersey,2000000.0,2623,Computer Hardware,10,2013,2,Marlton
LoveBug Probiotics,http://lovebugprobiotics.com,New York,300000.0,2620,Consumer Products & Services,4,2015,1,New York
Nationwide Pharmaceutical,nationwidepharmaceutical.com,Texas,700000.0,2618,Government Services,12,2014,1,San Antonio
Freedom Forever,http://freedomforever.com,California,10100000.0,2603,Energy,358,2013,2,Temecula
Alpha Omega Integration,alphaomegaintegration.com,Virginia,2500000.0,2596,Government Services,145,2010,2,Vienna
Arsenal Strength,http://myarsenalstrength.com,Tennessee,500000.0,2578,Business Products & Services,4,2014,1,Knoxville
Capital Brand Group,http://capitalbrandgroup.com,Maryland,400000.0,2564,Construction,16,2013,1,Silver Spring
FedWriters,fedwriters.com,Virginia,500000.0,2555,Government Services,57,2010,2,Fairfax
Sethmar Transportation,sethmar.com,Kansas,900000.0,2540,Logistics & Transportation,18,1999,1,Overland Park
Hyperion Partners,hyperionpartners.net,Nevada,1800000.0,2525,Telecommunications,36,2012,2,Las Vegas
Arcalea,arcalea.com,Illinois,300000.0,2514,Advertising & Marketing,12,2015,1,Chicago
Haga Kommer,hagakommer.com,North Dakota,600000.0,2506,Financial Services,55,2006,2,Fargo
Waggl,waggl.com,California,400000.0,2482,Software,55,2014,1,Sausalito
Roman Roofing,romanroofinginc.com,Florida,2200000.0,2482,Construction,71,2015,1,Florida
Akumina,akumina.com,New Hampshire,400000.0,2474,Software,48,2011,1,Nashua
ShipMonk,shipmonk.com,Florida,2800000.0,2470,Logistics & Transportation,350,2014,2,Deerfield Beach
BrillMedia.co,brillmedia.co,California,400000.0,2465,Advertising & Marketing,5,2013,1,Lake Balboa
Rocket Insights,http://rocketinsights.com,Massachusetts,1400000.0,2417,Software,58,2015,1,Boston
Tridant Solutions,tridantsolutions.com,California,300000.0,2415,Government Services,42,2005,2,Pasadena
ESC Choice,myesc.com,New York,2100000.0,2412,Human Resources,545,2009,8,Amherst
Nugget,nuggetcomfort.com,North Carolina,300000.0,2391,Consumer Products & Services,15,2014,1,Hillsborough
Octopi Brewing,http://octopibrewing.com,Wisconsin,500000.0,2383,Manufacturing,36,2014,1,Waunakee
KnowBe4,knowbe4.com,Florida,7200000.0,2370,Security,650,2010,4,Clearwater
Kinect Solar,http://kinectsolar.com,Texas,1300000.0,2358,Energy,8,2015,1,Austin
ComplianceQuest,compliancequest.com,Florida,200000.0,2356,Software,60,2013,1,Tampa
DecisionPoint,decisionpointcorp.com,Maryland,1600000.0,2354,IT Management,100,2011,1,Gaithersburg
Bombas,bombas.com,New York,10100000.0,2345,Consumer Products & Services,63,2013,2,New York
Jonas Paul Eyewear,jonaspauleyewear.com,Michigan,300000.0,2339,Consumer Products & Services,12,2013,1,Grand Rapids
Tamimi Pharmacy,http://salhabpharmacy.com,Florida,1600000.0,2313,Health,40,2013,1,Temple Terrace
Ad Hoc,adhoc.team,Maryland,5300000.0,2305,Government Services,199,2014,1,Silver Spring
Valify,getvalify.com,Texas,300000.0,2276,Software,36,2014,1,Frisco
Sapper Consulting,sapperconsulting.com,Missouri,600000.0,2274,Advertising & Marketing,90,2014,2,St. Louis
Privy,http://privy.com,Massachusetts,300000.0,2262,Advertising & Marketing,30,2012,1,Boston
Scooch,scoochcase.com,Indiana,600000.0,2248,Consumer Products & Services,8,2015,1,Noblesville
Monkedia,monkedia.com,Texas,1700000.0,2240,Advertising & Marketing,48,2014,2,Irving
UPshow,upshow.tv,Illinois,300000.0,2235,Business Products & Services,30,2015,1,Chicago
CampusLogic,campuslogic.com,Arizona,1400000.0,2233,Software,105,2011,3,"Chandler,"
PCC Cleaning and Maintenance,pcccleaning.com,New York,1200000.0,2230,Environmental Services,80,2015,1,Brooklyn
Quirk Creative,findyourquirk.com,New York,300000.0,2205,Advertising & Marketing,9,2015,1,Brooklyn
Tricopian,fuel-rod.com,California,700000.0,2171,Consumer Products & Services,18,2011,1,Poway
Efficient Home Services of Florida,ehsfl.com,Florida,1000000.0,2155,Energy,50,2011,1,Tampa
Fitness Cubed,cubii.com,Illinois,1000000.0,2142,Manufacturing,13,2014,1,Chicago
Velox Media,veloxmedia.com,Idaho,300000.0,2142,Advertising & Marketing,41,2007,1,Boise
1Link Technology,http://1linktechnology.com,Tennessee,500000.0,2138,IT Management,55,2014,1,Germantown
Quadrant Resource,http://quadrantresource.com,Washington,1300000.0,2122,Software,100,2004,2,Redmond
MyHealth,chartrequest.com,Georgia,300000.0,2116,Health,64,2015,1,Brookhaven
Velocity Global,velocityglobal.com,Colorado,8600000.0,2112,Business Products & Services,103,2014,2,Denver
Oseth Group,osethgroup.com,Virginia,500000.0,2107,Construction,23,2015,1,Sterling
Koia,drinkkoia.com,California,800000.0,2100,Food & Beverage,15,2013,1,San Diego
Sifted,sifted.co,Georgia,700000.0,2099,Food & Beverage,142,2015,1,Atlanta
PRx Performance,prxperformance.com,North Dakota,700000.0,2097,Retail,18,2013,2,Fargo
Universal Yums,http://universalyums.com,New Jersey,1300000.0,2095,Food & Beverage,28,2014,1,Parsippany-Troy Hills
Bridge Brothers,http://bridgebrothers.com,Georgia,400000.0,2081,Manufacturing,14,2015,1,Atlanta
Dynamic Systems Technology,http://dystech.com,Virginia,2500000.0,2077,Government Services,350,1995,4,Fairfax
Supinf Technologies,supinf-tech.com,Maryland,400000.0,2076,Government Services,10,2009,1,Rockville
Davis Cargo,daviscargo.com,Florida,3300000.0,2068,Logistics & Transportation,45,2014,1,orlando
Polaris Energy Services,polarisenergyservices.com,California,200000.0,2047,Energy,10,2014,1,San Luis Obispo
SetSchedule,setschedule.com,California,400000.0,2037,Real Estate,62,2014,1,Irvine
L2 Defense,l2defense.com,Maryland,2100000.0,2037,Government Services,60,2012,3,Middle River
Motivosity,http://motivosity.com/index.html,Utah,400000.0,2029,Software,18,2013,1,Orem
Advoc8,http://advoc8.com,District of Columbia,1400000.0,2026,Advertising & Marketing,30,2015,1,Washington
Real Plans,http://realplans.com,California,400000.0,2018,Software,23,2014,2,Walnut
Axiom Strategies,axiomstrategies.com,Missouri,13800000.0,2013,Advertising & Marketing,102,2005,1,Kansas City
Midway Staffing,midwaystaffing.com,Illinois,4000000.0,2007,Business Products & Services,2330,2015,1,Berwyn
Perfect Part,theperfectpart.net,California,200000.0,2004,Telecommunications,5,2013,1,North Hollywood
Silverline Home Remodeling,silverlinebuilder.com,California,200000.0,1996,Construction,5,2014,1,Canoga Park
Maxim Zenwise Opco,zenwisehealth.com,Florida,3800000.0,1987,Consumer Products & Services,25,2014,1,Orlando
World Housing Solution,worldhousingsolution.com,Florida,500000.0,1972,Manufacturing,29,2011,2,SANFORD
City Ventures,city-ventures.com,Nebraska,11400000.0,1967,Real Estate,250,2013,2,Omaha
Web Presence,netreputation.com,Florida,400000.0,1963,Advertising & Marketing,23,2014,1,Sarasota
Energy Earth,energyearth.com,Tennessee,2200000.0,1952,Advertising & Marketing,42,2011,1,Chattanooga
Empowered Electric,empoweredkc.com,Missouri,400000.0,1944,Construction,28,2015,1,North Kansas City
Bookkeeper Business Launch,learntobeabookkeeper.com,Wyoming,400000.0,1939,Education,8,2015,1,Cheyenne
Noom,noom.com/#,New York,6100000.0,1938,Health,1246,2008,1,New York City
Zenith Engineers,zenithengineers.com,California,300000.0,1924,Engineering,30,2009,2,Hayward
Let's Make A Lead,adopt-a-contractor.com,Florida,400000.0,1918,Business Products & Services,14,2014,1,Miami
Momentum Solar,momentumsolar.com,New Jersey,16200000.0,1917,Energy,1160,2009,4,South Plainfield
Radius Networks,radiusnetworks.com,District of Columbia,3200000.0,1915,Software,54,2011,2,Washington
Fattmerchant,fattmerchant.com,Florida,400000.0,1914,Financial Services,75,2014,1,Orlando
Infinium Group,infiniumhr.com,California,400000.0,1905,Human Resources,8,2014,1,MURRIETA
Memory.net,http://memory.net,California,1900000.0,1901,Computer Hardware,11,2000,1,SAN CLEMENTE
FactoryPure,factorypure.com,Texas,600000.0,1882,Retail,5,2013,1,san antonio
Untappd,untappd.com,North Carolina,1000000.0,1882,Software,90,2010,3,Wilmington
MikMak,mikmak.tv,New York,300000.0,1877,Advertising & Marketing,11,2015,1,New York
Fusion Recruiting Labs,fusionrl.com,New Jersey,800000.0,1851,Software,45,2015,1,Red Bank
Office Libations,officelibations.com,California,400000.0,1843,Food & Beverage,15,2014,1,Oakland
Broker Online Exchange,brokeronlinexchange.com,New York,800000.0,1838,Energy,25,2013,1,Suffern
ODL Services,odlservices.com,Virginia,700000.0,1820,Government Services,15,2012,2,Virginia Beach
Platinum Health,http://platinumhealthllc.com,Florida,1100000.0,1813,Health,4,2014,1,Orlando
Avelead,avelead.com,Georgia,700000.0,1808,IT System Development,40,2014,2,Suwanee
CMG-Midwest,http://cmgmidwest.com,Missouri,300000.0,1802,Construction,5,2012,1,Cleveland
Quince Orchard Psychotherapy,http://qopsych.com,Maryland,300000.0,1797,Health,33,2015,1,Gaithersburg
RedShelf,about.redshelf.com,Illinois,4600000.0,1797,Education,79,2012,2,Chicago
TransAmerica Express Logistics,http://transamericaexp.com,California,12000000.0,1795,Logistics & Transportation,22,2015,1,Sacramento
Flipcause,flipcause.com,California,500000.0,1792,Software,30,2012,1,Oakland
Simply NUC,simplynuc.com,Texas,1200000.0,1790,Computer Hardware,44,2015,1,Round Rock
Virtual Machine Solutions,http://virmach.com,California,200000.0,1789,IT Management,3,2014,1,Los Angeles
Gateway Genomics,gatewaygenomics.org,California,400000.0,1786,Health,19,2014,1,La Jolla
Strativia,strativia.com,Maryland,1100000.0,1781,Government Services,152,2007,1,LARGO
ClockShark,clockshark.com,California,400000.0,1775,Software,25,2014,1,Chico
TriFold,upcart.com,Ohio,700000.0,1765,Manufacturing,6,2013,1,Columbus
Energy Ogre,energyogre.com,Texas,600000.0,1763,Consumer Products & Services,60,2013,1,Houston
D. Ott Construction,ww.dottconstruction.com,Pennsylvania,300000.0,1759,Construction,5,2015,1,Lancaster
Medisuite,medisuite.com,North Carolina,200000.0,1738,Health,12,2013,1,Cary
MYTA Technologies,myta.com,Maryland,500000.0,1733,Human Resources,40,2014,1,Bethesda
Deal Partners,http://dealpartners.com,Florida,2600000.0,1732,Consumer Products & Services,21,2012,3,Doral
Tier4 Group,http://tier4group.com,Georgia,500000.0,1729,Business Products & Services,0,2010,1,Atlanta
IES,iescombustors.com,Colorado,1300000.0,1726,Manufacturing,25,2014,1,LaSalle
ResiCap,http://resicap.com,Georgia,46700000.0,1723,Real Estate,900,2010,2,Atlanta
Transcend Security Solutions,transcendsecurity.com,Arizona,800000.0,1713,Security,275,2014,1,Phoenix
GlobalTex USA,http://globaltexusa.com,Florida,200000.0,1710,Business Products & Services,10,2015,1,Miami
Vespa Group,vespa-group.com,Indiana,400000.0,1702,IT System Development,59,2014,1,Indianapolis
Bridgewater Homes,bridgewaterhomes.com,Colorado,4600000.0,1700,Construction,18,2015,2,Loveland
Park Financial Group,parkstatebank.com,Minnesota,700000.0,1699,Financial Services,35,2015,1,Minneapolis
Chronovo,chronovo.com,Massachusetts,400000.0,1692,Insurance,25,2014,1,Burlington
Maverick Media Ventures,brightideas.co,Idaho,300000.0,1692,Consumer Products & Services,9,2014,1,Garden City
Kortx,http://kortx.io,Michigan,1000000.0,1685,Advertising & Marketing,20,2014,1,Royal Oak
Bawla Consulting,bawlainc.com,New York,1000000.0,1681,Human Resources,2,2014,1,Valley Stream
Pawstruck,pawstruck.com,California,900000.0,1677,Retail,15,2014,2,Long Beach
Blue Raven Solar,blueravensolar.com,Utah,5900000.0,1672,Energy,250,2014,1,American Fork
Woom Bikes USA,http://us.woombikes.com,Texas,700000.0,1666,Consumer Products & Services,25,2014,1,Austin
Mixt Solutions,mixtsolutions.com,Ohio,400000.0,1661,Consumer Products & Services,5,2014,1,Plain City
ThrivePass,thrivepass.com,Colorado,400000.0,1653,Health,31,2015,1,Denver
Premier Health Solutions,premierhsllc.com,Texas,800000.0,1653,Insurance,29,2012,1,Frisco
Impact Analytics,http://impactanalytics.co,Maryland,500000.0,1651,Business Products & Services,175,2014,2,"Linthicum, MD 21090"
Hemper,hemper.co,New York,400000.0,1650,Consumer Products & Services,18,2015,1,HAUPPAUGE
Intermex,intermextransportation.com,California,300000.0,1650,Travel & Hospitality,18,2015,1,hacienda heights
PatientBond,patientbond.com,Illinois,200000.0,1648,IT System Development,16,2011,1,Elmhurst
Ginn Group,ginngrp.com,Washington,7200000.0,1636,Real Estate,49,2009,1,Vancouver
PANTHERX Rare,http://pantherspecialty.com,Pennsylvania,72600000.0,1634,Health,164,2011,4,Pittsburgh
Factorial Digital,factorialdigital.com,South Carolina,300000.0,1627,Advertising & Marketing,6,2015,1,Mount Pleasant
T-Rex Solutions,trexsolutionsllc.com,Maryland,25900000.0,1621,Government Services,231,1999,4,Greenbelt
Toops,toopsllc.com,Illinois,800000.0,1621,Retail,12,2015,1,Evanston
InfuseMedia,http://infusemedia.com,Massachusetts,900000.0,1609,Advertising & Marketing,375,2012,2,NEWTON CENTER
Teachable,teachable.com,New York,1400000.0,1606,Software,81,2014,1,New York
Squadhelp.com,squadhelp.com,Illinois,300000.0,1600,Business Products & Services,10,2011,2,Hoffman Estates
Take2 Consulting,take2it.com,Virginia,1800000.0,1600,IT Management,106,2014,1,Vienna
Epion Health,epionhealth.com,New Jersey,400000.0,1599,Software,20,2011,1,Hoboken
Gotcha Media Holdings,ridegotcha.com,South Carolina,800000.0,1572,Logistics & Transportation,81,2009,2,Charleston
Kyzen Consulting Services,kyzencs.com,Maryland,600000.0,1569,Government Services,22,1999,4,Gaithersburg
CheckedUp,checkedup.com,New York,500000.0,1567,Health,45,2012,2,New York
Cultivate Advisors,http://cultivateadvisors.com,Illinois,300000.0,1558,Business Products & Services,32,2013,1,Chicago
Advisors Education,http://advisorseducation.com,Florida,200000.0,1554,Education,9,2011,1,Jacksonville
Recleim,recleim.com,Georgia,4100000.0,1553,Environmental Services,323,2012,3,Atlanta
Maddox Industrial Transformer,http://maddoxtransformer.com,South Carolina,1400000.0,1553,Manufacturing,23,2015,1,Simpsonville
Mako Medical Laboratories,makomedical.com,North Carolina,9400000.0,1549,Health,502,2014,1,Raleigh
Alert Media,alertmedia.com,Texas,500000.0,1549,Software,73,2013,1,Austin
Southern Veterinary Partners,svp.vet,Alabama,11400000.0,1545,Health,1500,2014,2,Birmimgham
